,product_id,discounted_price,actual_price
0,B07JW9H4J1,,1099.0
8,B098NS6PVG,,349.0
16,B096MSW6CT,,1899.0
24,B08HDJ86NZ,,699.0
32,B08CF3B7N1,,399.0
40,B08Y1TFSP6,149.0,
48,B08WRWPM22,,499.0
56,B08DDRGWTJ,,299.0
64,B008IFXQFU,,999.0
72,B082LZGK39,,299.0
80,B08CF3D7QR,154.0,
88,B0789LZTCJ,,799.0
96,B07KSMBL2H,219.0,
104,B085DTN6R2,350.0,
112,B09KLVMZ3B,159.0,
120,B083342NKJ,349.0,
128,B0B6F7LX4C,,24999.0
136,B082LSVT4B,,399.0
144,B08WRBG3XW,199.0,
152,B08DPLCM6T,13490.0,
160,B09C6HXFC1,,1799.0
168,B085194JFL,279.0,
176,B09F6S8BT6,13490.0,
184,B09NHVCHS9,59.0,
192,B0B1YVCJ2Y,,19990.0
200,B01M4GGIVU,,699.0
208,B08B42LWKN,,19999.0
216,B094JNXNPV,299.0,
224,B09W5XR9RT,970.0,
232,B077Z65HSD,299.0,
240,B00NH11PEY,199.0,
248,B09CMM3VGK,179.0,
256,B08QSC1XY8,389.0,
264,B008FWZGSG,599.0,
272,B0B4HJNPV4,199.0,
280,B08Y1SJVV5,,666.66
288,B07XLCFSSN,899.0,
296,B09RZS1NQT,,999.0
304,B0B3MMYHYW,32999.0,
312,B09C6HWG18,970.0,
320,B00NH11KIK,,695.0
328,B09JPC82QC,,34999.0
336,B07JW1Y6XV,,1099.0
344,B07KRCW6LZ,,1599.0
352,B09NJN8L25,59.0,
360,B07XJYYH7L,,999.0
368,B002PD61Y4,507.0,
376,B014I8SSD0,,475.0
384,B09L8DSSFH,399.0,
392,B07232M876,,395.0
400,B07P681N66,,2199.0
408,B0711PVX6Z,179.0,
416,B082T6V3DT,799.0,
424,B07MKFNHKG,,12999.0
432,B0BFWGBX61,,349.0
440,B01N90RZ4M,,499.0
448,B0088TKTY2,649.0,
456,B09Q5SWVBJ,,21999.0
464,B0B4DT8MKT,,1499.0
472,B08CDKQ8T6,154.0,
480,B07B275VN9,,799.0
488,B0B15CPR37,,47900.0
496,B0994GFWBH,,999.0
504,B01GGKZ0V6,,845.0
512,B09F9YQQ7B,13999.0,
520,B014I8SX4Y,309.0,
528,B09Q8HMKZX,,699.0
536,B0B9XN9S3W,7999.0,
544,B07966M8XH,,2999.0
552,B01GGKYKQM,,700.0
560,B0B86CDHL1,,899.0
568,B0B5ZF3NRK,,599.0
576,B09RFC46VP,26999.0,
584,B08R69VDHT,,499.0
592,B09RWZRCP1,,999.0
600,B09CMP1SC8,199.0,
608,B09YLXYP7Y,,399.0
616,B09ZPM4C2C,10901.0,
624,B0B2DJDCPX,,499.0
632,B0BCZCQTJX,1434.0,
640,B07LGT55SJ,399.0,
648,B09NKZXMWJ,,249.0
656,B08QX1CC14,7299.0,
664,B0974H97TJ,,799.0
672,B07GVGTSLN,325.0,
680,B09VCHLSJF,29999.0,
688,B0B1YZX72F,,40990.0
696,B092BJMT8Q,,52900.0
704,B0BMXMLSMM,199.0,
712,B07JH1C41D,,1999.0
720,B0141EZMAI,,800.0
728,B09Q5P2MT3,,31999.0
736,B08HDH26JX,,699.0
744,B09VT6JKRP,,999.0
752,B09T3KB6JZ,18990.0,
760,B093QCY6YJ,290.0,
768,B093ZNQZ2Y,249.0,
776,B08LKS3LSP,,999.0
784,B00V4BGDKU,1099.0,
792,B08CHKQ8D4,,1499.0
800,B09BW334ML,,1499.0
808,B082T6GVLJ,849.0,
816,B07DL1KC3H,,899.0
824,B0B6F98KJJ,21999.0,
832,B07JNVF678,,999.0
840,B09QGZFBPM,,999.0
848,B07JGDB5M1,449.0,
856,B0981XSZJ7,,999.0
864,B0B9XLX8VR,37999.0,
868,B08Y5KXR6Z,,800.0
876,B09F6VHQXB,,20000.0
884,B0974G5Q2Y,273.1,
892,B09YL9SN9B,15990.0,
900,B09RX1FK54,399.0,
908,B09TT6BFDX,399.0,
916,B09KH58JZR,210.0,
924,B09DDCQFMT,1299.0,
932,B08RP2L2NL,347.0,
940,B0B4G2MWSB,,999.0
948,B0B21C4BMX,,899.0
956,B084MZXJNK,1599.0,
964,B0BHZCNC4P,1499.0,
972,B0B16KD737,8499.0,
980,B099K9ZX65,,44990.0
988,B08Y55LPBF,,44999.0
996,B015OW3M1W,,1700.0
1004,B01D5H8ZI8,229.0,
1012,B09X1M3DHX,,27990.0
1020,B09MM6P76N,349.0,
1028,B01D5H8LDM,,1200.0
1036,B0B1YY6JJL,23999.0,
1044,B09QGZM8QB,399.0,
1052,B08L4SBJRY,349.0,
1060,B09X79PP8F,179.0,
1068,B082T6GVG9,689.0,
1076,B0B3XY5YT4,30990.0,
1084,B0B4HKH19N,249.0,
1092,B08TGG316Z,999.0,
1095,B071VMP1Z4,399.0,
1103,B071SDRGWL,349.0,
1111,B08PSQRW2T,,1099.0
1119,B0859M539M,,2999.0
1127,B08RX8G496,655.0,
1135,B002SZEOLG,749.0,
1143,B08CS3BT4L,,12999.0
1151,B00RFWNJMC,,499.0
1159,B082T6GXS5,,2100.0
1167,B09CMQRQM6,499.0,
1175,B005LJQMCK,,599.0
1183,B09C6H53KH,,699.0
1191,B0BB3CBFBM,29990.0,
1199,B08QSDKFGQ,339.0,
1207,B08PV1X771,,20900.0
1215,B07YTNKVJQ,499.0,
1223,B0117H7GZ6,249.0,
1231,B09XJ1LM7R,399.0,
1232,B084N133Y7,1499.0,
1240,B088Z1YWBC,,15990.0
1248,B07VSG5SXZ,637.0,
1255,B08RWCZ6SY,399.0,
1263,B07KSB1MLX,1089.0,
1271,B081FG1QYX,,999.0
1279,B08R69WBN7,,499.0
1287,B0B3RHX6B6,149.0,
1295,B084N18QZY,599.0,
1303,B081NHWT6Z,,1199.0
1311,B07JPJJZ2H,,1299.0
1319,B09JKNF147,339.0,
1327,B0B9959XF3,,22990.0
1335,B09PNR6F8Q,249.0,
1343,B07M69276N,,2499.0
1351,B0B1YZ9CB8,,47990.0
1359,B09YLYB9PB,,399.0
1367,B08CTNJ985,,999.0
1375,B0BP7XLX48,399.0,
1380,B09LHXNZLR,199.0,
1388,B0B3N8VG24,88.0,
1396,B08PSVBB2X,399.0,
1404,B0B3MQXNFB,57.89,
1412,B08XMSKKMM,799.0,
1420,B09L8DT7D6,205.0,
1428,B00GE55L22,,699.0
1436,B0162K34H2,849.0,
1444,B0B8SRZ5SV,949.0,
1452,B07CWNJLPC,499.0,
1460,B00NH12R1O,,485.0
1468,B0B8SSC5D9,,1999.0
1476,B08WKG2MWT,,1099.0
1484,B0B466C3G4,,18990.0
1492,B005LJQMZC,486.0,
1500,B07MDRGHWQ,5699.0,
1508,B07DC4RZPY,,1999.0
1516,B0B15GSPQW,,70900.0
1524,B08GJNM9N7,,1199.0
1532,B09C6FML9B,320.0,
1540,B0B65MJ45G,139.0,
1548,B08P9RYPLR,,249.0
1556,B0B6F8HHR6,,35999.0
1564,B084MZXJN6,,1699.0
1572,B08XMG618K,225.0,
1580,B0BCKWZ884,,2999.0
1588,B00GGGOYEK,259.0,
1596,B07ZR4S1G4,,699.0
1602,B09C635BMM,,999.0
1610,B00GG59HU2,467.0,
1618,B00RGLI0ZS,,599.0
1626,B09ZPJT8B2,,31990.0
1634,B07HZ2QCGR,,599.0
1642,B095244Q22,252.0,
1650,B08CKW1KH9,204.0,
1658,B0BLV1GNLN,,9990.0
1666,B08RHPDNVV,,599.0
1674,B00NH13Q8W,299.0,
1682,B0B8SSZ76F,799.0,
1690,B0841KQR1Z,,999.0
1698,B0B467CCB9,,16990.0
1706,B095JQVC7N,42999.0,
1714,B08PPHFXG3,,999.0
1722,B06XR9PR5X,,600.0
1730,B09JSW16QD,848.99,
1738,B07JH1CBGW,,1999.0
1746,B09127FZCK,299.0,
1754,B083GQGT3Z,399.0,
1762,B09Q8WQ5QJ,249.0,
1770,B07YZG8PPY,1249.0,
1778,B09H39KTTB,,499.0
1786,B08DCVRW98,,499.0
1794,B0718ZN31Q,598.0,
1802,B0162LYSFS,799.0,
1810,B07PFJ5VQD,159.0,
1818,B01J8S6X2I,,1100.0
1826,B09MJ77786,31999.0,
1834,B09NNGHG22,,56790.0
1842,B07V5YF4ND,299.0,
1850,B0B65P827P,,549.0
1858,B084MZYBTV,,849.0
1866,B097ZQTDVZ,,899.0
1874,B0B5F3YZY4,,1099.0
1882,B09G5TSGXV,,799.0
1890,B006LW0WDQ,399.0,
1898,B09YLX91QR,179.0,
1906,B081FJWN52,339.0,
1914,B0758F7KK7,399.0,
1922,B09L835C3V,199.0,
1930,B098TV3L96,,1999.0
1938,B08NCKT9FG,299.0,
1946,B0B4T6MR8N,,800.0
1954,B01GGKZ4NU,549.0,
1962,B09BW2GP18,129.0,
1970,B09WN3SRC7,,139900.0
1978,B09B125CFJ,,799.0
1986,B09RQRZW2X,,899.0
1994,B07924P3C5,,799.0
2002,B08N1WL9XW,182.0,
2010,B07VVXJ2P5,96.0,
2018,B0BC8BQ432,54990.0,
2022,B06XFTHCNY,439.0,
2030,B08CT62BM1,,999.0
2038,B07CRL2GY6,,799.0
2046,B07DWFX9YS,,1999.0
2054,B01D5H90L4,,700.0
2062,B07F1P8KNV,325.0,
2070,B084N1BM9L,,1999.0
2078,B09F6D21BY,790.0,
2086,B09LQQYNZQ,4699.0,
2090,B0BC9BW512,,24990.0
2098,B0B61HYR92,199.0,
2106,B075ZTJ9XR,,650.0
2114,B0978V2CP6,,3100.0
2122,B09LRZYBH1,,3999.0
